title|url|text|category
aplicaciones vulnerables para practicar habilidades de pentesting móvil (android / ios)|http://blog.segu-info.com.ar/2021/11/aplicaciones-android-vulnerables-para.html|si es un investigador de seguridad o un entusiasta de la seguridad y desea  aprender sobre las pruebas de seguridad de aplicaciones móviles o las pruebas  de penetración móvil  su punto de partida debería ser establecer un  laboratorio y practicar en él  algunas de estas apps son como ctf  otras son como escenarios del mundo real y  otras simplemente muestran cómo explotar una vulnerabilidad específica|Seguridad Informatica
brecha en godaddy expone datos de 1,2 millones de clientes con wordpress|http://blog.segu-info.com.ar/2021/11/brecha-en-godaddy-expone-datos-de-12.html|el hacer obtuvo así hasta los datos de 1 2 millones de usuarios activos y  antiguos del servicio gestionado de la empresa las contraseñas  administrativas originales de las cuentas gestionadas de wordpress también  quedaron a disposición del hacker  lo que ponía en peligro las propias cuentas  si las credenciales seguían en uso  también quedaron expuestos los nombres de usuario y las contraseñas de sftp y  de la base de datos  y un número no revelado de usuarios también tenía  expuestas sus claves privadas de ssl  godaddy descubrió que el intruso había estado dentro del sistema desde el 6 de  septiembre  lo que significa que el hacker tuvo acceso a los datos durante más  de dos meses la empresa dice haber contratado una empresa forense al  descubrir el incidente  y que ha tomado medidas para salvaguardar sus  sistemas  incluyendo el cambio de las contraseñas administrativas originales  que todavía estaban en uso  el restablecimiento de las contraseñas sftp y de  la base de datos  y la instalación de nuevos certificados digitales para los  clientes afectadoslamentamos sinceramente este incidente y la preocupación que causa a    nuestros clientes  dijo la compañía en su presentación  nosotros  la dirección y los empleados de godaddy  nos tomamos muy en    serio nuestra responsabilidad de proteger los datos de nuestros clientes y    nunca queremos defraudarlos aprenderemos de este incidente y ya estamos    tomando medidas para reforzar nuestro sistema de aprovisionamiento con capas    adicionales de protección|Seguridad Informatica
protegerse del phishing, smishing y vishing en black friday|http://blog.segu-info.com.ar/2021/11/protegerse-del-phishing-smishing-y.html|el conocido black friday  el cyber monday y las navidades se llenan de  descuentos y ofertas para activar el comercio electrónico  principalmente en  este contexto  es importante conocer los riesgos asociados al  ecommerce con el fin de poder disfrutar de nuestras compras de una  forma segurasi queremos protegernos de la ciberdelincuencia  necesitamos saber qué les  motiva a actuar y cómo funcionan lo que buscan es dinero y datos personales   básicamente  porque precisamente esa información también vale mucho y en  cuanto a su modo de actuación  hay que tener en cuenta que cada vez son más  creativos y proceden a través de técnicas de ingeniería social  dentro de este tipo de técnicas  la más conocida es el phishing ésta consiste  en que el ciberdelincuente suplanta una marca a través de un email   habitualmente  y ofrece una súper oferta que es el gancho para pinchar en el  enlace que nos indican y al hace clic  ya hemos caído en sus redes porque ese  link es malicioso e instalara malware en nuestro dispositivo  desconfiar de descuentos descomunales y no clickear en enlaces desconocidos es  fundamental si dudamos  antes de acceder a través de ellos  es recomendable  visitar directamente la web de la marca y buscar la oferta desde ahí  junto al phishing  resaltan otras técnicas cada vez más usadas  tales como:|Seguridad Informatica
cronrat: malware magecart para linux programa sus tareas para el 31 de febrero|http://blog.segu-info.com.ar/2021/11/cronrat-malware-magecart-para-linux.html|la característica más destacada de cronrat es su capacidad de aprovechar la  utilidad de programación de trabajos cron para unix para ocultar cargas útiles  maliciosas utilizando nombres de tareas programadas para ejecutarse el 31 de  febrero esto no solo permite que el malware evite la detección del software  de seguridad  sino que también le permite lanzar una serie de comandos de  ataque que podrían poner en riesgo los servidores de comercio electrónico de  linux    el cronrat agrega una serie de tareas a crontab con una curiosa    especificación de fecha: 52 23 31 2 3  explicaron los investigadores    estas líneas son sintácticamente válidas  pero generarían un error de    tiempo de ejecución cuando se ejecutaran sin embargo  esto nunca sucederá    ya que están programadas para ejecutarse el 31 de febrero en cambio  el    código de malware real está oculto en los nombres de las tareas y se    construye utilizando varias capas de compresión y decodificación base64    el rat  un programa bash sofisticado  también utiliza muchos niveles  de ofuscación para dificultar el análisis  como comprimir y codificar el  código e implementar un protocolo binario personalizado con sumas de  verificación aleatorias para pasar los firewalls y los inspectores de  paquetes  antes de establecer comunicaciones con un servidor de control remoto  para esperar instrucciones adicionales  las capacidades de sigilo de cronrat representan una seria amenaza para los  servidores de comercio electrónico de linux:  armados con este acceso de puerta trasera  los atacantes asociados con cronrat  pueden ejecutar cualquier código en el sistema comprometido  el skimming digital se está moviendo del navegador al servidor y este es    otro ejemplo  dijo el director de investigación de amenazas de sansec  willem de groot  la mayoría de las tiendas en línea solo han implementado defensas basadas    en navegador  y los delincuentes aprovechan el back-end desprotegido los    profesionales de seguridad realmente deberían considerar la superficie de    ataque completa|Seguridad Informatica
zero-day que permite elevación de privilegios en windows|http://blog.segu-info.com.ar/2021/11/zero-day-que-permite-elevacion-de.html|esta vulnerabilidad fue descubierta por el investigador de seguridad  abdelhamid naceri  quien encontró una forma de saltear al parche y una nueva  vulnerabilidad de elevación de privilegios zero-day más poderosa que la  anterior  la vulnerabilidad afecta a todas las versiones compatibles de windows   incluidas windows 10  windows 11 y windows server 2022  con esta vulnerabilidad  los actores de amenazas con acceso limitado a un  dispositivo comprometido pueden elevar fácilmente sus privilegios para ayudar  a propagarse lateralmente dentro de la red  además  naceri explicó que si bien es posible configurar políticas de grupo  para evitar que los usuarios 'estándar' realicen operaciones de instalación de  msi  su día cero omite esta política y funciona de todos modosla mejor solución alternativa disponible al momento de escribir esto es  esperar a que microsoft lance un parche de seguridad  debido a la complejidad  de esta vulnerabilidad  explicó naceri|Seguridad Informatica
ofrecen acceso y edición a base de datos del gobierno argentino|http://blog.segu-info.com.ar/2021/11/ofrecen-acceso-y-edicion-base-de-datos.html|sin embargo  esta vez  la situación parece más complicada no sólo es acceso a  datos que están bajo la esfera estatal  sino que el grupo everest ransomware  ofrece la posibilidad de poder editar la información y modificarla a  discreción  lo que cual lo hace más peligroso y vulnerable    everest es un grupo de delincuentes especializado en ataques a perfiles de    alto nivel  como entidades gubernamentales o    personajes de elite como empresarios o abogados|Seguridad Informatica
exploit para microsoft exchange rce (actualiza!)|http://blog.segu-info.com.ar/2021/11/exploit-para-microsoft-exchange-rce.html|durante el fin de semana se publicó un código de explotación de prueba de  concepto para una vulnerabilidad de gravedad alta explotada activamente y que  afecta a los servidores de microsoft exchange  la explotación exitosa permite a los atacantes autenticados ejecutar código de  forma remota en servidores exchange vulnerableseste poc simplemente ejecuta mspaintexe en el objetivo  se puede utilizar    para reconocer el patrón de firma de un evento de ataque exitoso  dijo el investigadorse advierte a los administradores que apliquen el parche de inmediatosomos conscientes de los ataques dirigidos limitados en la naturaleza    utilizando una de las vulnerabilidades (cve-2021-42321)  que es una    vulnerabilidad posterior a la autenticación en exchange 2016 y 2019  dijo microsoft  para verificar si alguno de sus servidores exchange vulnerables ya ha sido  afectado por intentos de explotación cve-2021-42321  se debe ejecutar esta  consulta de powershell en cada servidor exchange para verificar eventos  específicos:  con esta última vulnerabilidad (cve-2021-42321)  los investigadores ya están  viendo cómo los atacantes buscan e intentan comprometer los sistemas  vulnerables|Seguridad Informatica
ratdispenser: correos distribuyen malware a través de javascript|http://blog.segu-info.com.ar/2021/11/ratdispenser-correos-distribuyen.html|el nuevo cargador se apresuró a establecer asociaciones de distribución con al  menos ocho familias de malware  todas diseñadas para robar información y dar a  los actores control sobre los dispositivos de destino  en contra de la tendencia de usar documentos de microsoft office  este  cargador usa archivos adjuntos de javascript  que tienen tasas de detección  muy bajas  este archivo de texto está muy ofuscado para evitar la detección por parte del  software de seguridad y se decodificará cuando se haga doble clic en el  archivo y se inicie una vez iniciado  el cargador escribirá un archivo  vbscript en la carpeta %temp%  que luego se ejecutará para descargar la carga  útil del malware (rat)  estas capas de ofuscación ayudan al malware a evadir la detección el 89% de  las veces  según los resultados del análisis de virustotal  sin embargo  las puertas de enlace de correo electrónico detectarán el  cargador si la organización ha habilitado el bloqueo de archivos adjuntos  ejecutables  como archivos js  exe  bat  com  en 10 de las 155 muestras analizadas  el cargador estableció comunicación c2  para buscar malware de segunda etapa  por lo que  si bien esto es poco común   la funcionalidad está ahí  en general  ratdispenser parece adaptarse a la distribución de malware nuevo y  antiguo  y actúa como un cargador versátil para los actores de amenazas de  todos los niveles|Seguridad Informatica
apple demanda a nso por spyware pegasus para ios|http://blog.segu-info.com.ar/2021/11/apple-demanda-nso-por-spyware-pegasus.html|nso es una empresa legítima y su servicio pegasus ha sido descrito como un  software de grado militar y  la pieza más potente de software espía jamás desarrollada el spyware  funciona en todo tipo de teléfonos móviles  incluidos los iphone  y por eso  apple ha emprendido acciones legales  la demanda de apple pretende impedir que nso se dirija a los usuarios de  apple además  la demanda pretende impedir que nso utilice cualquier producto  o servicio de apple|Seguridad Informatica
publican detalles internos del grupo de ransomware conti|http://blog.segu-info.com.ar/2021/11/publican-detalles-internos-del-grupo-de.html|¿el resultado? hasta ahora se han identificado tres miembros del equipo de  conti  cada uno de los cuales desempeña las funciones de administrador  (tokio)  asistente (it_work_support@ xmpp[]jp) y reclutador  (it_work) para atraer nuevos afiliados a su la red  si bien los ataques de ransomware funcionan cifrando la información  confidencial de las víctimas y haciéndola inaccesible  los actores de amenazas  se han aferrado cada vez más a una estrategia de dos frentes llamada  doble extorsión: (a) exigir un pago de rescate por descifrar los  datos y (b) amenazar con hacer pública la información robada si el el pago no  se recibe dentro de un plazo específico  además  un análisis de muestras de ransomware y las direcciones de billetera  bitcoin utilizadas para recibir los pagos ha revelado una conexión entre conti  y ryuk  y ambas familias apostaron fuertemente por trickbot  emotet y  bazarloader para entregar realmente las cargas útiles de cifrado de archivos  en las redes de las víctimas  a través de suplantación de identidad (phishing)  por correo electrónico y otros esquemas de ingeniería socialpara abordar el complejo desafío de perturbar las organizaciones    ciberdelincuentes  las fuerzas públicas y privadas deben trabajar en    colaboración entre sí para comprender y mitigar mejor el impacto legal y    comercial más amplio de la amenaza  dijeron los investigadores|Seguridad Informatica
